ID,Dim1,Dim2,palabra,color,observacion
dispersal,0.378659177,-0.24521853,dispersal,#FF7F00,
distribution,0.368173372,-0.313988004,distribution,#FF7F00,
ecological,0.260316925,-0.329302867,ecological,#FF7F00,
environmental,0.33513724,-0.313272778,environmental,#FF7F00,
findings,0.15687162,-0.372404643,findings,#FF7F00,
importance,0.200957825,-0.235465948,importance,#FF7F00,
including,0.120730176,-0.262451793,including,#FF7F00,
land,0.326185842,-0.058329876,land,#FF7F00,
limited,0.144893613,-0.216368556,limited,#FF7F00,
local,0.649672144,0.080931222,local,#FF7F00,
models,0.200699872,-0.329957731,models,#FF7F00,
national,0.416370639,-0.131435135,national,#FF7F00,
populations,0.597745999,0.274453811,populations,#FF7F00,
potential,0.247818163,-0.079933025,potential,#FF7F00,
practices,0.218295817,-0.208103735,practices,#FF7F00,
provide,0.195054312,-0.173176304,provide,#FF7F00,
range,0.2615937,-0.124329892,range,#FF7F00,
resources,0.62334886,-0.047727086,resources,#FF7F00,
restoration,0.268356887,-0.102985246,restoration,#FF7F00,
sources,0.434783654,0.167178685,sources,#FF7F00,
spatial,0.371501526,-0.444512962,spatial,#FF7F00,
strategies,0.40237955,-0.271211617,strategies,#FF7F00,
sustainable,0.41093867,-0.10687608,sustainable,#FF7F00,
variation,0.285515233,-0.155402259,variation,#FF7F00,
